1028812,PAK'nSAVE Tamatea,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Leicester Avenue, Tamatea, Napier",06 843 3135,Mon-Sun 7am-10pm,NZ,176.870114,-39.51094,manual,1,2006-08-31T11:40:18Z,2014-08-06T03:24:40Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028819,PAK'nSAVE Gisborne City,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"274 Gladstone Road, Gisborne 4010",06 868 9029,Mon-Sun 7am-9pm,NZ,178.020905,-38.66418,manual,1,2006-08-31T11:40:19Z,2014-08-06T03:16:28Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028826,PAK'nSAVE Hastings,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"600 Heretaunga Streets, Hastings",06 876 6053,Mon-Sun 7am-10pm,NZ,176.836657,-39.636861,manual,1,2006-08-31T11:40:19Z,2014-08-06T03:20:34Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028840,PAK'nSAVE Rotorua,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Cnr Fenton & Amohau Streets, Rotorua",07 347 8440,Mon-Sun 7.30am-10pm,NZ,176.254349,-38.14021,manual,1,2006-08-31T11:40:19Z,2014-08-06T03:10:59Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028854,PAK'nSAVE Tauranga,"supermarket, Lotto, groceries, FUEL, fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"476 Cameron Road, Tauranga",07 578 7037,Mon-Sun 8am-10pm,NZ,176.161019,-37.696309,manual,1,2006-08-31T11:40:19Z,2014-08-06T03:13:49Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028868,PAK'nSAVE Mill Street,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, recipes, weekly deals, gift cards, Invivo wines",http://www.paknsave.co.nz,"Mill Street, Hamilton",07 839 7870,Mon-Sun 7am-10pm,NZ,175.272832,-37.779831,manual,1,2006-08-31T11:40:20Z,2015-07-13T08:44:21Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028882,PAK'nSAVE Pukekohe,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Cnr Queen & Harris Street, Pukekohe",09 238 0400,Mon-Sun 8am-9pm,NZ,174.900359,-37.204893,manual,1,2006-08-31T11:40:20Z,2014-08-06T02:49:51Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028889,PAK'nSAVE Manukau,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"67 Cavendish Drive, Manukau",09 263 6888,Mon-Sun 8am-10pm,NZ,174.880034,-36.987611,number,1,2006-08-31T11:40:20Z,2014-08-06T02:39:20Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028896,PAK'nSAVE Botany,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Botany Town Centre, 501 Ti Rakau Drive, East Tamaki, Auckland",09 273 8887,Mon-Sun 8am-10pm,NZ,174.913765,-36.930302,ROOFTOP,1,2006-08-31T11:40:20Z,2015-02-10T05:39:37Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028903,PAK'nSAVE Kaitaia,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, bakery, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"111 North Rd, Kaitaia",09 408 6222,Mon-Sun 8am-8pm,NZ,173.258589,-35.09794,number,1,2006-08-31T11:40:21Z,2014-08-06T02:18:41Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028910,PAK'nSAVE Albany,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Don McKinnon Drive, Albany, Auckland",09 415 1000,Mon-Sun 8am-10pm,NZ,174.707143,-36.730131,manual,1,2006-08-31T11:40:21Z,2014-08-06T02:28:58Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028931,PAK'nSAVE Glen Innes,"Supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards, Invivo wines",http://www.paknsave.co.nz,"182 Apirana Ave, Glen Innes",09 528 4885,Mon-Sun 8am-10pm,NZ,174.855056,-36.875839,manual,1,2006-08-31T11:40:21Z,2015-07-13T01:29:40Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028945,PAK'nSAVE Mt Albert,"supermarket, Lotto, FUEL, groceries, Fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards, Ceres Organics Stockist",http://www.paknsave.co.nz,"1167-1177 New North Rd, Mt Albert, Auckland",09 820 0218,Mon-Sun 8am-10pm,NZ,174.705969,-36.892973,manual,1,2006-08-31T11:40:21Z,2015-06-17T22:30:33Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1028959,PAK'nSAVE Lincoln North,"supermarket, Lotto, groceries, FUEL, fresh fruit & vegetables, fresh meat, deli, shopping, deals, savings, recipes, weekly deals, gift cards",http://www.paknsave.co.nz,"Lincoln North Centre, Lincoln Road, Henderson, Auckland",09 837 1830,Mon-Sun 8am-10pm,NZ,174.628201,-36.857613,manual,1,2006-08-31T11:40:22Z,2015-04-13T04:09:05Z,zenbu_out010,https://www.facebook.com/PAKnSAVE,GroceryStore GasStation
1029533,Victoria Ave Night 'n Day @ Gull,"Gull Service station, Petrol station, Diesel, Convenience store, Deli, Takeaways, Bakery, Groceries, Ice-cream, Fish & Chips",http://www.nightnday.co.nz,"Cnr Victoria Avenue and London Street, Wanganui 4500",06 348 7233,Mon-Sun 24 hours,NZ,175.037857,-39.924266,number,1,2006-08-31T13:52:52Z,2015-07-08T09:12:43Z,zenbu_out010,https://www.facebook.com/nightnday.co.nz,GasStation ConvenienceStore
1029547,Gull Palmerston North Central,"Service station, petrol, diesel",http://www.gull.co.nz/,"14 Fitzherbert Avenue, Palmerston North",06 353 6488,24hrs 7 days,NZ,175.612127,-40.35778,number,1,2006-08-31T13:52:52Z,2012-01-19T00:43:11Z,zenbu,,GasStation
1029561,Tremaine Night 'n Day @ Gull,"Gull Petrol station, Diesel, Convenience store, Snackfoods, Bakery, Groceries, Ice-Cream, Deli, Takeaway, Magazines",http://www.nightnday.co.nz,"999 Tremaine Avenue, Palmerston North 4414",06 355 8008,Mon-Sun 24 hours,NZ,175.629171,-40.330791,number,1,2006-08-31T13:52:52Z,2015-07-08T10:02:52Z,zenbu_out010,https://www.facebook.com/nightnday.co.nz,GasStation ConvenienceStore
1029631,Taradale Night 'n Day @ Gull,"Gull Service station, Petrol station, Diesel, Convenience store, Deli, Snackfoods, Groceries, Ice-cream, Fish & Chips, Bakery",http://www.nightnday.co.nz,"2 Taradale Road, Napier 4110",06 834 0285,Mon-Sun 24 hours,NZ,176.894889,-39.495892,number,1,2006-08-31T13:52:54Z,2015-07-08T09:04:05Z,zenbu_out010,https://www.facebook.com/nightnday.co.nz,GasStation ConvenienceStore
